name,tech_score,confidence,city,region,country,address,lat,lng,website,phone,careers_url,careers_provider,careers_api_url,careers_confidence,careers_last_checked,careers_notes,categories,sources,source_ids,notes
Fintalk Software Labs Pvt. Ltd.,100.0,high,Pune,Maharashtra,India,"A-4, Kiran Suyog, Laxman Nagar, Balewadi, Moze college ground, Pune, 411045",18.5740173,73.7696176,https://fintalklabs.com,,https://republik62tante.com/,company_website,https://smapi.xystem138.com/api/opgateway/v1/op/demo/LaunchGame?opId=l22trgIDR&amp;Currency=IDR&amp;GameCode=30004&amp;lang=en-us&#39,medium,2026-06-12T19:00:21+00:00,careers page found on company website,"office=company | description=Software company in Pune. Solutions in Artificial Intelligence, Data Analytics, Machine Learning, Internet of Things & Embedded Software",openstreetmap,"{""openstreetmap"": ""node:7147895840""}","matched: software, artificial intelligence, machine learning, data analytics, solutions, labs, office=company; negative hints: college"
Web Brace Technologies,100.0,high,Pune,Maharashtra,India,,18.4658435,73.8496259,,,,,,,,,"description='Web Brace Technologies providing all kind of Digital Services like web designing, web development, Digital Marketing, SEO, SMO, Mobile app development etc..'",openstreetmap,"{""openstreetmap"": ""node:7025744210""}","matched: technologies, app development, mobile app, web development, digital"
Upsurge Infotech - SAP | Software Testing | Data Analytics | Python | Digital Marketing |Agentic AI Training classes Near you,98.0,high,Mumbai,Maharashtra,India,"3rd Floor, 2A/20, Vivina CHS Limited, S.V. Road, Super Shopping Centre, Andheri West, Mumbai, 400058",19.1188368,72.845929,https://upsurgeinfotech.com/,098191 57317,,,,none,2026-06-12T19:00:25+00:00,homepage fetch failed: ConnectionError; https://upsurgeinfotech.com/jobs: ConnectionError; https://upsurgeinfotech.com/jobs/: ConnectionError; https://upsurgeinfotech.com/career: ConnectionError; no careers page detected,,openstreetmap,"{""openstreetmap"": ""node:13881352301""}","matched: software, infotech, data analytics, digital"
NASTAF Technologies PVT LTD,97.0,high,Chennai,Tamil Nadu,India,"II Floor, Swathi Complex, No. 34, Flat No 2, Nandanam, Chennai, Tamil Nadu, Chennai, 600017",13.0312301,80.2394047,https://nastaf.com/,,,,,none,2026-06-12T19:01:27+00:00,homepage fetch failed: SSLError; https://nastaf.com/jobs: SSLError; https://nastaf.com/jobs/: SSLError; https://nastaf.com/career: SSLError; no careers page detected,office=IT Software Company,openstreetmap,"{""openstreetmap"": ""node:13077992493""}","matched: software, technologies, office=it"
SpatioWorld Technologies,97.0,high,Pune,Maharashtra,India,"Office No. 1028A, 10th Floor, Geras Imperium Rise, Rajiv Gandhi Infotech Park, MIDC, Mulshi, Hinjawadi Phase 2, Pune, 411057",18.5962067,73.7178382,https://spatioworld.com,+91 8956588558,https://spatioworld.com/jobs,company_website,https://fonts.googleapis.com,medium,2026-06-12T19:01:32+00:00,careers page found on company website,office=it,openstreetmap,"{""openstreetmap"": ""node:12281630915""}","matched: technologies, infotech, office=it"
Cron24 Technologies,93.0,high,Madurai,Tamil Nadu,India,"Technology Business Incubator, TCE Campus, Thiruparankundram, Madurai - 625015",9.885968,78.0762394,https://cron24.com,+91 93602 39309,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:7981200683""}","matched: technology, technologies, office=it"
Maventus Software Technologies Private. Ltd.,92.0,high,Hyderabad,Telangana,India,,17.4371861,78.3945689,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:7021303667""}","matched: software, technologies, office=it"
Atyantik Technologies Private Limited,92.0,high,Vadodara,Gujarat,India,"304, Privilege Avenue, Dr. Vikram Sarabhai campus, Vadodara, Gujarat, 390007",22.3175363,73.166643,https://www.atyantik.com,+918347435435,,,,,,,"description=Atyantik Technologies is an IT software services company based in Vadodara, Gujarat. Established in 2015, it services the needs of both large and mid-sized enterprises. The company is involved in data processing and is known for its proficiency in the IT",openstreetmap,"{""openstreetmap"": ""way:1184434974""}","matched: software, it services, technologies"
BrillMindz,91.0,high,Bengaluru,Karnataka,India,"#572, 1st Floor, 6th F Cross Rd, 6th Block, 6th Cross Road, Bengaluru, 560095",12.9372774,77.6266203,https://brillmindz.com/,91 9538448421,,,,none,2026-06-12T19:01:36+00:00,https://pepeneropizzerianh.com/jobs: HTTPError; https://pepeneropizzerianh.com/jobs/: HTTPError; https://pepeneropizzerianh.com/career: HTTPError; no careers page detected,office=it | description=Mobile App Development Company,openstreetmap,"{""openstreetmap"": ""node:7165561635""}","matched: app development, mobile app, office=it"
Planvisage Software Solutions,91.0,high,Bengaluru,Karnataka,India,"35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Bengaluru, 560001",12.9864281,77.5952553,https://planvisage.com/,+91 80 4113 5997,https://www.planvisage.com/aboutus,company_website,https://panorama.wixapps.net/api/v1/bulklog,medium,2026-06-12T19:02:47+00:00,careers page found on company website,office=it | description=Supply chain solutions company,openstreetmap,"{""openstreetmap"": ""node:13469785380""}","matched: software, solutions, office=it"
Robert Bosch Engineering and Business Solutions Limited,91.0,high,Bengaluru,Karnataka,India,"Campus 1B EcoSpace Varthur Hobli Sarjapura Villas,, Service Rd, Adarsh Palm Retreat, Bellandur, Belandur, Bangalore, 560103",12.9265276,77.6798083,https://www.bosch-india-software.com,080665 75757,https://www.bosch.in/careers/,company_website,https://www.bosch.in/careers/,medium,2026-06-12T19:02:49+00:00,careers page found on company website,office=it,openstreetmap,"{""openstreetmap"": ""node:3551347251""}","matched: software, solutions, office=it"
Immo Information Technology,90.0,high,Panaji/Goa,Goa,India,"Belgaum - Panaji Highway, Merces",15.492543,73.8511974,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:5848315621""}","matched: information technology, technology, office=it"
Conversantech,89.0,high,Mumbai,Maharashtra,India,"D57 Mewawala Apartments, St. Mary road, Vile Parle West, 400056",19.0988742,72.8411616,https://www.conversantech.com,,,,,none,2026-06-12T19:01:39+00:00,homepage fetch failed: ConnectTimeout; https://www.conversantech.com/jobs: ConnectTimeout; https://www.conversantech.com/jobs/: ConnectTimeout; https://www.conversantech.com/career: ConnectTimeout; no careers page detected,office=it | description=IT & Web Development Company In Mumbai.,openstreetmap,"{""openstreetmap"": ""node:11505778319""}","matched: technologies, web development, office=it"
Foradian Technologies,88.0,high,Bengaluru,Karnataka,India,"#2569/665, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, 560102",12.9159814,77.6516057,https://www.foradian.com/,+91 8067393000,,,,none,2026-06-12T19:02:41+00:00,https://www.foradian.com/jobs: HTTPError; https://www.foradian.com/jobs/: HTTPError; https://www.foradian.com/career: HTTPError; no careers page detected,office=company | description=Foradian Technologies is a privately held software provider of ERP Solutions for education institutions,openstreetmap,"{""openstreetmap"": ""node:4313884779""}","matched: software, technologies, solutions, office=company"
Samaj Infotech,88.0,high,Gandhinagar,Gujarat,India,"236, 2nd Floor, Radhe Square, Nr. Reliance Cross roads, Kudasan, Urjanagar 1, Gandhinagar, 382421",23.1846955,72.6297076,https://www.samajinfotech.com,+919824303899,,,,none,2026-06-12T19:02:43+00:00,https://www.samajinfotech.com/jobs: HTTPError; https://www.samajinfotech.com/jobs/: HTTPError; https://www.samajinfotech.com/career: HTTPError; no careers page detected,description=Website | Game | Animation | Software & App Development Company,openstreetmap,"{""openstreetmap"": ""node:5865313367""}","matched: software, infotech, app development"
Vyomnet Technologies (OPC) Private Limited,88.0,high,New Delhi,Delhi,India,"201 A, Second Floor, Shakti Mandir Marg, Delhi, 110007",28.6806605,77.1989865,https://vyomnet.tech,+91 11 4106 5220,,,,none,2026-06-12T19:02:45+00:00,https://vyomnet.tech/jobs: HTTPError; https://vyomnet.tech/jobs/: HTTPError; https://vyomnet.tech/career: HTTPError; no careers page detected,"office=company | description=Internet enabled applications development company. We build websites, ecommerce sites, web applications, mobile apps, custom software solutions for individuals and enterprises.  We are an ISO 9001:2005 and ISO 27001:2013 certified company.",openstreetmap,"{""openstreetmap"": ""node:9066810595""}","matched: software, technologies, solutions, office=company"
Sensation Software Solutions Pvt. Ltd.,87.0,high,Chandigarh-Mohali,Chandigarh/Punjab,India,"F-7, Phase-8, Industrial Area, Mohali, 160072",30.7104382,76.7064411,https://www.sensationsolutions.com/,+911725095622,,,,none,2026-06-12T19:02:57+00:00,homepage fetch failed: HTTPError; https://www.sensationsolutions.com/jobs: HTTPError; https://www.sensationsolutions.com/jobs/: HTTPError; https://www.sensationsolutions.com/career: HTTPError; no careers page detected,office=it,openstreetmap,"{""openstreetmap"": ""node:8240314954""}","matched: software, solutions, office=it"
Pynesec Technologies Private Limited - Cyber security Services Company,87.0,high,Chennai,Tamil Nadu,India,"4/2, Samayapuram Nagar Main Road, porur, 600116",13.0380062,80.1512771,https://www.pynesec.com/,+919043111754,,,,none,2026-06-12T19:02:58+00:00,https://www.pynesec.com/jobs: HTTPError; https://www.pynesec.com/jobs/: HTTPError; https://www.pynesec.com/career: HTTPError; no careers page detected,office=it,openstreetmap,"{""openstreetmap"": ""node:12027874068""}","matched: technologies, cyber security, office=it"
Atclicks,87.0,high,Kochi,Kerala,India,"George Varghese Lane, Kadavanthra, Kochi, 682020",9.9643304,76.3025558,https://www.atclicks.com/,+91 484 404 2070,,,,none,2026-06-12T19:03:02+00:00,https://www.atclicks.com/jobs: HTTPError; https://www.atclicks.com/jobs/: HTTPError; https://www.atclicks.com/career: HTTPError; no careers page detected,office=it,openstreetmap,"{""openstreetmap"": ""node:5867424640""}","matched: software, solutions, office=it"
Department of Information Technology,87.0,high,Mangaluru,Karnataka,India,,13.0112342,74.7922643,,,,,,,,,,openstreetmap,"{""openstreetmap"": ""node:3655381894""}","matched: information technology, technology, artificial intelligence, labs"
Beelogical Software Solutions,87.0,high,Pune,Maharashtra,India,"plot no 12, Kshipra Sahanivas Galli 1, Pune, 411052",18.4925793,73.8206499,https://bee-logical.com/,+91 96658 62273,,,,,,,"office=it | description=Plot no. 12, Purvakarta Bungalow, Kshipra Society, Near Idea Showroom, Lane Number 1, Chintamani Society, Kshipra Sahaniwas, Karve Nagar, Kshipra Society, Karve Nagar, Pune, Maharashtra 411052",openstreetmap,"{""openstreetmap"": ""node:4646616232""}","matched: software, solutions, office=it"
BFSI Software,85.0,high,Bengaluru,Karnataka,India,,12.9810579,77.6405905,,,,,,,,,office=information technology,openstreetmap,"{""openstreetmap"": ""node:3725658266""}","matched: software, information technology, technology"
Ahmedabad Technologies - CCTV,83.0,high,Ahmedabad,Gujarat,India,"Danilimda Cross Road, Ahmedabad, 380028",22.9971605,72.5784693,https://ahmedabadcctv.in,+91 9484830629,,,,,,,"office=it | description=We're a local company in Ahmedabad that provides affordable CCTV surveillance, maintenance, and access control systems to homes and businesses across Ahmedabad and neighbouring areas. Our experienced CCTV technicians near you will work with you to fully u",openstreetmap,"{""openstreetmap"": ""node:11236499287""}","matched: technologies, systems, office=it"
Persistent Systems Limited,83.0,high,Panaji/Goa,Goa,India,"L-44, Unit 1, Software Technology Park, Verna Industrial Estate, 403722",15.3660665,73.9328877,,,,,,,,,office=company,openstreetmap,"{""openstreetmap"": ""node:5257979363""}","matched: software, technology, systems, office=company"
Accord Software & Systems Pvt Ltd,82.0,high,Bengaluru,Karnataka,India,,12.9705486,77.6457156,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:3851862910""}","matched: software, systems, office=it"
Arasu Infotech,81.0,high,Chennai,Tamil Nadu,India,"No 45, 1st and 2nd floor, Om sakthi nagar, Kasi Towers, Mettukuppam, Vanagaram, Chennai, 600095",13.0456588,80.1499119,arasuinfotechservices.com,9943400155,,,,,,,office=it | description=Digital marketing company with a strong international presence. Our Digital Marketing Consultants use their knowledge and expertise to make a difference for businesses all around the world.,openstreetmap,"{""openstreetmap"": ""node:10698896818""}","matched: infotech, digital, office=it"
RideNext Software solutions,80.0,high,Bengaluru,Karnataka,India,,12.9156771,77.6445738,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:11533032808""}","matched: software, solutions, office=it"
Tayana Software Solutions Pvt Ltd.,80.0,high,Bengaluru,Karnataka,India,,12.9710313,77.6182045,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:3806272639""}","matched: software, solutions, office=it"
PLLC software Solutions,80.0,high,Hyderabad,Telangana,India,,17.3680701,78.5403041,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:7152903470""}","matched: software, solutions, office=it"
Prime Software Solutions Pvt Ltd,80.0,high,Hyderabad,Telangana,India,,17.4425246,78.3873128,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:7021303621""}","matched: software, solutions, office=it"
Sneha Software Solutions,80.0,high,Hyderabad,Telangana,India,,17.4346899,78.3919878,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:7025820839""}","matched: software, solutions, office=it"
Dx Global Software Solutions Pvt Ltd,80.0,high,Kochi,Kerala,India,,10.0006936,76.2792703,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:12012807827""}","matched: software, solutions, office=it"
Internet Marketing Services in Hyderabad | Book a service,79.0,high,Hyderabad,Telangana,India,"Cyber Pearl B-Block,, HiTech City, Madhapur, Hyderabad, Telangana 500081, Hyderabad, 500081",17.4457128,78.3761857,https://aoplweb.in/,+91 9849720320,,,,,,,"office=it | description=Absolute Online Web is an innovative web Hosting, web designing and web development company based out of Hyderabad. Absolute Online Web is providing an array of services like web designing services, digital marketing services, search engine optimization.",openstreetmap,"{""openstreetmap"": ""node:9773299678""}","matched: web development, digital, office=it"
Sine90 Software Labs Pvt Ltd,78.0,high,Hyderabad,Telangana,India,,17.4427508,78.3861477,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:7021303618""}","matched: software, labs, office=it"
Raysoft Infotech Private Limited,76.0,high,Chennai,Tamil Nadu,India,"18/19, 1st STreet, Kalyan Nagar, Mudichur Road, Chennai, 600045",12.9246286,80.1087409,https://raysoftinfotech.com/,+91 9445890714,,,,,,,"building=office | description=At Raysoft, our commitment is to offer focused data-driven online marketing services including Website Development, SEO, SMM, SEM, RPA and Software Development. | building=commercial | description=Online Marketing and Business Process Outsourcing Services",openstreetmap,"{""openstreetmap"": ""way:1135948237""}","matched: software, infotech, digital"
"Feyman technologies- software,web,mobile applications development",76.0,high,Raipur,Chhattisgarh,India,"moudhapara,raipur, raipur, 492001",21.2461635,81.6375802,www.feyntch.com,+91 9826117457,,,,,,,office=company,openstreetmap,"{""openstreetmap"": ""node:4445270472""}","matched: software, technologies, office=company"
Tech Decade,75.0,high,Ahmedabad,Gujarat,India,"science city, Ahmedabad, 380060",23.0799028,72.5016478,https://www.techdecade.com,+91 6354995516,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:13146961826""}","matched: software, office=it"
BEO Software Pvt Ltd,75.0,high,Kochi,Kerala,India,"PJAntony Road, Cochin, 682025",10.0066183,76.3058725,https://beo-software.in,+91 484 234 1197,,,,,,,office=it | building=yes,openstreetmap,"{""openstreetmap"": ""way:801726059""}","matched: software, office=it"
Barcode Wala ( Retail System ),75.0,high,Patna,Bihar,India,"Road, Road Number 12, Patna, 800016",25.6048774,85.1662571,https://rspatna.com/,9334493507,,,,,,,"office=it | description=Barcode Related All Setup for Fuly Business Automation
Software and Hardware , Anti-Theft Solution
Call for any Need : 9334493507 ashok",openstreetmap,"{""openstreetmap"": ""node:11072536178""}","matched: software, office=it"
manpushp software,75.0,high,Raipur,Chhattisgarh,India,"Behind Gokul Chandrama Mandir, Purohitbada, Budhapara, Raipur, Chhattisgarh, Raipur, 492001",21.236837,81.6331762,https://www.manpushpsoftware.com/,+91 9303128798,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:4445309614""}","matched: software, office=it"
Xxat software,75.0,high,Raipur,Chhattisgarh,India,"330, samata colony main road,samata colony, raipur, 492001",21.2462632,81.6223527,https://www.xxatsolution.com/,+91 7489162331,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:4445372675""}","matched: software, office=it"
CodeRythm Technologies,74.0,high,Bengaluru,Karnataka,India,"1st Cross Rd, Sundar Nagar, Mathikere, Bangalore, 560054",13.0399458,77.5577474,https://coderythm.com/,+91 80 2345 0822,,,,,,,,openstreetmap,"{""openstreetmap"": ""node:2859824390""}","matched: software, technologies, startup"
Cognizant Technology Solutions,74.0,high,Chennai,Tamil Nadu,India,"Elcot SEZ, Chennai City Corporation Limits, 600119",12.9134678,80.2187913,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""way:468136482""}","matched: technology, solutions, office=it"
Ion Digital Zone I,74.0,high,Nagpur,Maharashtra,India,"Nrupali Infotech, Plot 128, Bombay Truck Terminus, Wadi",21.1496188,79.0055472,,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:6223674238""}","matched: infotech, digital, office=it"
Cognizant Technology Solutions,74.0,high,Pune,Maharashtra,India,,18.5831786,73.7332672,,,,,,,,,office=it | building=yes,openstreetmap,"{""openstreetmap"": ""way:359537088""}","matched: technology, solutions, office=it"
Infycons Creative Software,73.0,high,Bengaluru,Karnataka,India,"7/1, I Floor, 80 Feet Road, Indiranagar, 560038",12.9808923,77.6458843,https://infycons.com/,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:2377834239""}","matched: software, office=it"
Nilenso Software,73.0,high,Bengaluru,Karnataka,India,"105, 10th Cross, Bengaluru, 560038",12.9816173,77.6385578,https://nilenso.com/,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:4030163472""}","matched: software, office=it"
Nagarro Software Pvt Ltd,73.0,high,Gurugram,Haryana,India,"13, Sub.Major Laxmi Chand Rd, Gurgaon",28.491745,77.0742923,https://www.nagarro.com,,,,,,,,office=it | building=yes,openstreetmap,"{""openstreetmap"": ""way:142938989""}","matched: software, office=it"
BluWebMedia IT Services Pvt. Ltd.,73.0,high,Kolkata,West Bengal,India,"704, Shaila Towers J - 1/16, EP Block, Sector V, Salt Lake City, 700091",22.5706444,88.4355904,https://www.bluwebmedia.co.in,+916289187548,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:6847500326""}","matched: it services, office=it"
ESDS Software Solution Pvt Ltd,73.0,high,Nashik,Maharashtra,India,"Plot No. B- 24 & 25,, NICE Industrial Area, Nashik, 422007",19.9960502,73.7473064,https://www.esds.co.in/,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:2839142996""}","matched: software, office=it"
VMware Software India Pvt. Ltd.,73.0,high,Pune,Maharashtra,India,"5th - 8th floor, Tower B, Panchshil Business Park, Baner-Balewadi link road, Pune, 411045",18.5711146,73.7734771,https://www.vmware.com/in.html,,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:11052203032""}","matched: software, office=it"
Here Technologies,71.0,high,Mumbai,Maharashtra,India,,19.1765057,72.9929043,https://www.here.com/,,https://www.here.com/about/careers,icims,https://www.here.com/about/careers,high,2026-06-12T20:06:45+00:00,detected ATS/provider,office=it,openstreetmap,"{""openstreetmap"": ""node:9866414039""}","matched: technologies, office=it"
Solnet System pvt.ltd,71.0,high,Mumbai,Maharashtra,India,"118, Station Road, Mumbai, 400104",19.1656159,72.8476432,https://solnetindia.com/,,,,,,,,office=it | building=rolex shopping center,openstreetmap,"{""openstreetmap"": ""node:13762502878""}","matched: it services, office=it"
QBUrst Technologies,71.0,high,Thiruvananthapuram,Kerala,India,"Vazhuthacaud, SH 2, Thiruvananthapuram, 695014",8.4988326,76.9577955,https://www.qburst.com/,,https://www.qburst.com/en-jp/company/career/,company_website,https://storage.googleapis.com/qb-revamp-stg/v2/Logo_and_Wordmark_1e2d2c081b/Logo_and_Wordmark_1e2d2c081b.svg,medium,2026-06-12T20:57:30+00:00,careers page found on company website,office=it,openstreetmap,"{""openstreetmap"": ""node:2630867641""}","matched: technologies, office=it"
TrackoBit,70.0,high,Noida,Uttar Pradesh,India,"A-57, Sector 4, Noida, Noida, 201301",28.5822487,77.319968,https://trackobit.com/,9310402061,,,,,,,"office=company | description=TrackoBit is the fastest growing Telematics software company based out in India. Our expertise lies in building real-time platforms backed by robust infrastructure that scales on the cloud. We manage millions of real-time connections, process data into me",openstreetmap,"{""openstreetmap"": ""node:9597000226""}","matched: software, cloud, office=company"
Zenkins Technologies Private Limited,69.0,high,Ahmedabad,Gujarat,India,"B 612, The Gateway, Gangotri, to, Sardar Patel Ring Rd, Nikol, Ahmedabad, 380049",23.0430456,72.6790066,https://zenkins.com/,+91 7069018504,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:13576170081""}","matched: technologies, office=it"
Amiti Software Technologies Ltd.,69.0,high,Bengaluru,Karnataka,India,,12.8923066,77.5976171,,,,,,,,,office=company,openstreetmap,"{""openstreetmap"": ""node:2963780092""}","matched: software, technologies, office=company"
MIMSYS Technologies Pvt. Ltd.,69.0,high,Bengaluru,Karnataka,India,"100, 5th cross road",12.9102888,77.6146442,https://www.mimsystech.com/,+91-80-40906043,,,,,,,"office=it | description=IT office in BTM Layout, Bangalore",openstreetmap,"{""openstreetmap"": ""node:7214407985""}","matched: technologies, office=it"
Sourcebits (Ascendum Digital),69.0,high,Bengaluru,Karnataka,India,"2nd Floor, A Block, Salarpuria Aura,, Marathahalli-Sarjapur Outer Ring Road, Bengaluru, Karnataka 560103",12.936467,77.6909742,https://www.ascendum.com/,+9180 6750 0800,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:8402628125""}","matched: solutions, digital, office=it"
Sunsoft Technologies,69.0,high,Bengaluru,Karnataka,India,"14, 1 Main Road, bangalore, 560072",12.9221739,77.5762688,http://sunsofttechnology.com,9844202861,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:3208809160""}","matched: technologies, office=it"
VirtuBox Infotech Pvt Ltd,69.0,high,Bengaluru,Karnataka,India,"33, 5th Cross Rd, Jakasandra Block, Koramangala 3 Block, Koramangala, Bengaluru, 560034",12.9292846,77.6308206,https://www.virtubox.io/,07022559390,,,,,,,office=it,openstreetmap,"{""openstreetmap"": ""node:11953294206""}","matched: infotech, office=it"
Altruist Technologies Private Limited,69.0,high,Chandigarh-Mohali,Chandigarh/Punjab,India,"Plot No. 2, Sector-22, HSIIDC IT Park, Panchkula, 134109",30.6922739,76.880183,https://www.altruistindia.com/home,+91 172 2970008,,,,,,,office=it | building=yes,openstreetmap,"{""openstreetmap"": ""way:1059370655""}","matched: technologies, office=it"
